Refcodes,Delta_conformational_energy(kJ/mol),components
ILAHEK01_ILAHEK,2.625472234285553e-05,1_2
ILIVUW01_ILIVUW,18.165808245081507,1_1
ILUVAO01_ILUVAO,5.250944468571106e-05,1_1
IMIPAV01_IMIPAV,0.3429690651519195,1_1
INEQUN01_INEQUN,8.700723215272888,1_1
INOCET02_INOCET,0.01787965515484302,2_1
INOHIC01_INOHIC,70.45164305450726,1_1
INOSIN10_INOSIN11,22.31255707643686,1_2
IPAMUH01_IPAMUH,0.7064616634592085,1_1
IPEZAG01_IPEZAG,0.11859383445880667,1_1
IPUPUE01_IPUPUE,5.2510041655295936e-05,1_2
IQIHIB01_IQIHIB,6.301882629556758,1_1
IQILAW02_IQILAW03,1.5752833405713318e-05,1_1
IQILAW02_IQILAW,0.26116636144087124,1_1
IQILAW03_IQILAW,0.26118211427427696,1_1
IQUFUX01_IQUFUX,0.05888996485430198,1_1
IRABIN01_IRABIN,2.3629250108569977e-05,1_1
ISOIND01_ISOIND02,1.3330529916657383,1_2
ISOIND01_ISOIND,0.11243703759669188,1_1
ISOIND02_ISOIND,1.2206159540690464,2_1
ISUNAL01_ISUNAL,0.5069289146089773,2_2
IVATAC01_IVATAC,6.823228165326896,1_1
IVOHIL02_IVOHIL03,2.3578722832739345,1_1
IVOHIL02_IVOHIL04,2.357895912524043,1_1
IVOHIL03_IVOHIL04,2.3629250108569977e-05,1_1
IVUQOF01_IVUQOF02,3.831523425012165,1_1
IVUQOF01_IVUQOF03,3.8316809551371307,1_2
IVUQOF01_IVUQOF04,3.8317072098594736,1_2
IVUQOF01_IVUQOF,3.8316809551371307,1_1
IVUQOF02_IVUQOF03,0.0001575301249658878,1_2
IVUQOF02_IVUQOF04,0.00018378484730874334,1_2
IVUQOF02_IVUQOF,0.0001575301249658878,1_1
IVUQOF03_IVUQOF04,5.2510041655295936e-05,1_2
IVUQOF03_IVUQOF,2.6255319312440406e-05,1_1
IVUQOF04_IVUQOF,2.625472234285553e-05,2_1
IWUKAM01_IWUKAM02,24.567958720080583,1_1
IWUKAM01_IWUKAM,0.008244069973216028,1_1
IWUKAM02_IWUKAM,24.559714650107367,1_1
