filename,energy
AZAJAN01_m_2_gas_R,-1125.7616373
AZAJAN01_m_2_gas_xR,-1125.76173994
AZAJAN01_m_2_water_R,-1125.77889481
AZAJAN01_m_2_water_xR,-1125.77900339
AZAJAN_m_1_gas_R,-1125.76136669
AZAJAN_m_1_gas_xR,-1125.7631267
AZAJAN_m_1_water_R,-1125.77879998
AZAJAN_m_1_water_xR,-1125.78063994
AZESEE01_m_1_gas_R,-1565.80900681
AZESEE01_m_1_gas_xR,-1565.81253834
AZESEE01_m_1_water_R,-1565.82927002
AZESEE01_m_1_water_xR,-1565.83287304
AZESEE01_m_2_gas_R,-1565.80999426
AZESEE01_m_2_gas_xR,-1565.81253833
AZESEE01_m_2_water_R,-1565.83096023
AZESEE01_m_2_water_xR,-1565.83287245
AZESEE_m_1_gas_R,-1565.81163758
AZESEE_m_1_gas_xR,-1565.81253833
AZESEE_m_1_water_R,-1565.83101053
AZESEE_m_1_water_xR,-1565.83289307
AZESEE_m_2_gas_R,-1565.81054774
AZESEE_m_2_gas_xR,-1565.81253832
AZESEE_m_2_water_R,-1565.8319475
AZESEE_m_2_water_xR,-1565.83289046
BADNAY01_m_1_gas_R,-1000.13730771
BADNAY01_m_1_gas_xR,-1000.13754691
BADNAY01_m_1_water_R,-1000.16883315
BADNAY01_m_1_water_xR,-1000.16929558
BADNAY_m_1_gas_R,-1000.13743627
BADNAY_m_1_gas_xR,-1000.13754687
BADNAY_m_1_water_R,-1000.16910598
BADNAY_m_1_water_xR,-1000.16929527
BANDIF01_m_1_gas_R,-6678.99862172
BANDIF01_m_1_gas_xR,-6678.99922482
BANDIF01_m_1_water_R,-6679.01937374
BANDIF01_m_1_water_xR,-6679.02019706
BANDIF_m_1_gas_R,-6678.99983571
BANDIF_m_1_gas_xR,-6679.00117651
BANDIF_m_1_water_R,-6679.02036544
BANDIF_m_1_water_xR,-6679.02138732
BANGOM01_m_1_gas_R,-1127.7635484
BANGOM01_m_1_gas_xR,-1127.76364073
BANGOM01_m_1_water_R,-1127.76835453
BANGOM01_m_1_water_xR,-1127.76846646
BANGOM02_m_1_gas_R,-1127.76336267
BANGOM02_m_1_gas_xR,-1127.76364072
BANGOM02_m_1_water_R,-1127.76817431
BANGOM02_m_1_water_xR,-1127.768467
BANHOO01_m_1_gas_R,-951.627453948
BANHOO01_m_1_gas_xR,-951.627578169
BANHOO01_m_1_water_R,-951.640593619
BANHOO01_m_1_water_xR,-951.641053301
BANHOO02_m_1_gas_R,-951.62635211
BANHOO02_m_1_gas_xR,-951.627578142
BANHOO02_m_1_water_R,-951.639726684
BANHOO02_m_1_water_xR,-951.641053218
BANHOO_m_1_gas_R,-951.62660504
BANHOO_m_1_gas_xR,-951.627578192
BANHOO_m_1_water_R,-951.639968752
BANHOO_m_1_water_xR,-951.641053271
BAQBEA01_m_1_gas_R,-1936.68416705
BAQBEA01_m_1_gas_xR,-1936.68416703
BAQBEA01_m_1_water_R,-1936.70179653
BAQBEA01_m_1_water_xR,-1936.70179653
BAQBEA01_m_2_gas_R,-1936.68353672
BAQBEA01_m_2_gas_xR,-1936.68364034
BAQBEA01_m_2_water_R,-1936.70179483
BAQBEA01_m_2_water_xR,-1936.70179483
BAQBEA_m_1_gas_R,-1936.68416703
BAQBEA_m_1_gas_xR,-1936.68416703
BAQBEA_m_1_water_R,-1936.70179653
BAQBEA_m_1_water_xR,-1936.70179653
BASVUM01_m_1_gas_R,-877.042752757
BASVUM01_m_1_gas_xR,-877.044412808
BASVUM01_m_1_water_R,-877.057616494
BASVUM01_m_1_water_xR,-877.060293419
BASVUM_m_1_gas_R,-877.044271893
BASVUM_m_1_gas_xR,-877.044414268
BASVUM_m_1_water_R,-877.059542888
BASVUM_m_1_water_xR,-877.060269978
BATWOI01_m_1_gas_R,-3930.64928289
BATWOI01_m_1_gas_xR,-3930.65846696
BATWOI01_m_1_water_R,-3930.6675145
BATWOI01_m_1_water_xR,-3930.67431207
BATWOI_m_1_gas_R,-3930.65545336
BATWOI_m_1_gas_xR,-3930.65861883
BATWOI_m_1_water_R,-3930.67234495
BATWOI_m_1_water_xR,-3930.67507451
BATWUP01_m_1_gas_R,-15898.7860172
BATWUP01_m_1_gas_xR,-15898.7871619
BATWUP01_m_1_water_R,-15898.8103333
BATWUP01_m_1_water_xR,-15898.8110317
BATWUP_m_1_gas_R,-15898.7844268
BATWUP_m_1_gas_xR,-15898.7863597
BATWUP_m_1_water_R,-15898.8083817
BATWUP_m_1_water_xR,-15898.8095711
BAWNIW02_m_1_gas_R,-2254.82466276
BAWNIW02_m_1_gas_xR,-2254.82466276
BAWNIW02_m_1_water_R,-2254.82727694
BAWNIW02_m_1_water_xR,-2254.82727694
BAWNIW02_m_2_gas_R,-2254.82466237
BAWNIW02_m_2_gas_xR,-2254.82466238
BAWNIW02_m_2_water_R,-2254.82727596
BAWNIW02_m_2_water_xR,-2254.82727588
BAWNIW02_m_3_gas_R,-2254.82466015
BAWNIW02_m_3_gas_xR,-2254.82466014
BAWNIW02_m_3_water_R,-2254.82727755
BAWNIW02_m_3_water_xR,-2254.82727755
BAWNIW07_m_1_gas_R,-2254.82466237
BAWNIW07_m_1_gas_xR,-2254.82466237
BAWNIW07_m_1_water_R,-2254.82727747
BAWNIW07_m_1_water_xR,-2254.82727754
BAWNIW_m_1_gas_R,-2254.82466272
BAWNIW_m_1_gas_xR,-2254.82466135
BAWNIW_m_1_water_R,-2254.82727768
BAWNIW_m_1_water_xR,-2254.82727768
BAZKEV01_m_1_gas_R,-1481.05393178
BAZKEV01_m_1_gas_xR,-1481.05494407
BAZKEV01_m_1_water_R,-1481.07341309
BAZKEV01_m_1_water_xR,-1481.0742431
BAZKEV_m_1_gas_R,-1481.04791535
BAZKEV_m_1_gas_xR,-1481.05269549
BAZKEV_m_1_water_R,-1481.07006237
BAZKEV_m_1_water_xR,-1481.07242901
BDOTHY01_m_1_gas_R,-3370.84785007
BDOTHY01_m_1_gas_xR,-3370.84927769
BDOTHY01_m_1_water_R,-3370.88075765
BDOTHY01_m_1_water_xR,-3370.88257653
BDOTHY_m_1_gas_R,-3370.83908677
BDOTHY_m_1_gas_xR,-3370.84657353
BDOTHY_m_1_water_R,-3370.87521238
BDOTHY_m_1_water_xR,-3370.88106358
BDTOLE13_m_1_gas_R,-1823.51969813
BDTOLE13_m_1_gas_xR,-1823.51971054
BDTOLE13_m_1_water_R,-1823.52563964
BDTOLE13_m_1_water_xR,-1823.5257084
BDTOLE13_m_2_gas_R,-1823.51969815
BDTOLE13_m_2_gas_xR,-1823.51969274
BDTOLE13_m_2_water_R,-1823.52563903
BDTOLE13_m_2_water_xR,-1823.5257029
BDTOLE14_m_1_gas_R,-1823.51969804
BDTOLE14_m_1_gas_xR,-1823.51972677
BDTOLE14_m_1_water_R,-1823.52563972
BDTOLE14_m_1_water_xR,-1823.52573028
BDTOLE14_m_2_gas_R,-1823.51969816
BDTOLE14_m_2_gas_xR,-1823.51970843
BDTOLE14_m_2_water_R,-1823.5256397
BDTOLE14_m_2_water_xR,-1823.5257064
BDTOLE14_m_3_gas_R,-1823.51969812
BDTOLE14_m_3_gas_xR,-1823.51970191
BDTOLE14_m_3_water_R,-1823.5256397
BDTOLE14_m_3_water_xR,-1823.52570904
BDTOLE14_m_4_gas_R,-1823.51969784
BDTOLE14_m_4_gas_xR,-1823.51969523
BDTOLE14_m_4_water_R,-1823.52563972
BDTOLE14_m_4_water_xR,-1823.52569312
BECMUT01_m_1_gas_R,-1849.01187072
BECMUT01_m_1_gas_xR,-1849.01786362
BECMUT01_m_1_water_R,-1849.02520611
BECMUT01_m_1_water_xR,-1849.03118286
BECMUT_m_1_gas_R,-1849.0098677
BECMUT_m_1_gas_xR,-1849.01758282
BECMUT_m_1_water_R,-1849.02284071
BECMUT_m_1_water_xR,-1849.0302801
BEDMIG02_m_1_gas_R,-1582.08291334
BEDMIG02_m_1_gas_xR,-1582.08518045
BEDMIG02_m_1_water_R,-1582.11396248
BEDMIG02_m_1_water_xR,-1582.11602231
BEDMIG03_m_1_gas_R,-1582.08041306
BEDMIG03_m_1_gas_xR,-1582.086049
BEDMIG03_m_1_water_R,-1582.1113889
BEDMIG03_m_1_water_xR,-1582.1165391
BEDMIG05_m_1_gas_R,-1582.0808953
BEDMIG05_m_1_gas_xR,-1582.08588821
BEDMIG05_m_1_water_R,-1582.11240133
BEDMIG05_m_1_water_xR,-1582.11593452
BEDMIG06_m_1_gas_R,-1582.07871723
BEDMIG06_m_1_gas_xR,-1582.08518055
BEDMIG06_m_1_water_R,-1582.11465682
BEDMIG06_m_1_water_xR,-1582.11602218
BEDMIG17_m_1_gas_R,-1582.07656252
BEDMIG17_m_1_gas_xR,-1582.08588818
BEDMIG17_m_1_water_R,-1582.10924905
BEDMIG17_m_1_water_xR,-1582.11593459
BEDMIG17_m_2_gas_R,-1582.0807751
BEDMIG17_m_2_gas_xR,-1582.08588801
BEDMIG17_m_2_water_R,-1582.11259328
BEDMIG17_m_2_water_xR,-1582.11593457
BEFDUO01_m_1_gas_R,-1204.29321287
BEFDUO01_m_1_gas_xR,-1204.29721397
BEFDUO01_m_1_water_R,-1204.30670248
BEFDUO01_m_1_water_xR,-1204.30939891
BEFDUO_m_1_gas_R,-1204.29671323
BEFDUO_m_1_gas_xR,-1204.29721396
BEFDUO_m_1_water_R,-1204.30899867
BEFDUO_m_1_water_xR,-1204.30939889
BEHZOF01_m_1_gas_R,-1188.06612665
BEHZOF01_m_1_gas_xR,-1188.06664277
BEHZOF01_m_1_water_R,-1188.08735334
BEHZOF01_m_1_water_xR,-1188.08815907
BEHZOF_m_1_gas_R,-1188.07091636
BEHZOF_m_1_gas_xR,-1188.07122739
BEHZOF_m_1_water_R,-1188.08887057
BEHZOF_m_1_water_xR,-1188.08919248
BEMLOU03_m_1_gas_R,-1762.46421687
