Refcodes,Delta_strain_energy,components
ILAHEK_ILAHEK01,0.8698018957977638,2_1
ILIVUW_ILIVUW01,20.12605905500959,1_1
ILUVAO_ILUVAO01,4.748085474399431,1_1
IMIPAV_IMIPAV01,14.79960218437509,1_1
INEQUN_INEQUN01,4.432789180305917,1_1
INOCET_INOCET02,8.294138285099507,1_2
INOHIC_INOHIC01,43.78942800505183,1_1
INOSIN10_INOSIN11,46.67097726702025,1_1
IPAMUH_IPAMUH01,9.75237511637755,1_1
IPEZAG_IPEZAG01,2.044056770743282,1_1
IPUPUE_IPUPUE01,1.0045688099530707,2_1
IQIHIB_IQIHIB01,2.532373514191022,1_1
IQILAW_IQILAW02,4.769971643165604,1_1
IQILAW_IQILAW03,5.482745008736629,1_1
IQILAW02_IQILAW03,10.252716651902233,1_1
IQUFUX_IQUFUX01,18.117630319770342,1_1
IRABIN_IRABIN01,0.46236367759672703,1_1
ISOIND_ISOIND01,0.0,1_1
ISOIND_ISOIND02,2.888049306193352e-05,1_1
ISOIND01_ISOIND02,2.888049306193352e-05,1_1
ISUNAL_ISUNAL01,1.1031589604301075,2_2
IVATAC_IVATAC01,0.84194533929508,1_1
IVOHIL02_IVOHIL03,1.8089196159376115,1_1
IVOHIL02_IVOHIL04,0.9118939111016857,1_1
IVOHIL03_IVOHIL04,0.8970257048359258,1_1
IVUQOF_IVUQOF01,4.9786568852321125,1_2
IVUQOF_IVUQOF02,5.975874295323138,1_1
IVUQOF_IVUQOF03,5.1570858652950164,1_1
IVUQOF_IVUQOF04,6.391123375206007,1_2
IVUQOF01_IVUQOF02,0.9972174100910252,2_1
IVUQOF01_IVUQOF03,0.17842898006290397,2_1
IVUQOF01_IVUQOF04,1.4124664899738946,2_2
IVUQOF02_IVUQOF03,0.8187884300281212,1_1
IVUQOF02_IVUQOF04,0.4152490798828694,1_2
IVUQOF03_IVUQOF04,1.2340375099109906,1_2
IWUKAM_IWUKAM01,1.2880177903477943,1_1
IWUKAM_IWUKAM02,0.779195890259416,1_1
IWUKAM01_IWUKAM02,0.5088219000883782,1_1
IYEBUJ01_IYEBUJ03,5.833572194667568,1_1
IZANEC_IZANEC01,0.25729899994735206,1_1
IZOCOR_IZOCOR01,19.925995953902884,1_1
JAGNOX_JAGNOX01,11.652021509874771,1_1
JAGNUD_JAGNUD01,11.346045740712952,1_1
JAKGEH_JAKGEH01,5.271888478149037,1_1
JARXUV_JARXUV01,5.510478164462484,1_1
JAVCEO02_JAVCEO04,0.5199855259300534,1_1
JAYCES_JAYCES02,26.194797284677406,1_1
JAZCOD_JAZCOD01,0.3118831449677373,1_1
JEGLAI_JEGLAI01,2.9323421844885615,1_1
JESBER_JESBER01,21.836020949880094,1_1
JEVSEL_JEVSEL01,1.8897561360164445,1_1
