Refcodes,Delta_conformational_energy(kJ/mol),components
FITZAM01_FITZAM,0.5580395231497732,1_1
FIVBEU01_FIVBEU02,0.931107320180331,2_1
FIVBEU01_FIVBEU,0.18381125485529992,2_1
FIVBEU02_FIVBEU,0.7472960653250311,1_1
FIVCIZ01_FIVCIZ,0.11108490506876478,1_1
FIZRUD01_FIZRUD02,6.750239265332084,1_1
FIZRUD01_FIZRUD,3.7058669950249623,2_1
FIZRUD02_FIZRUD,6.748558945193054,1_1
FOBSOE01_FOBSOE03,0.25740402003066265,1_1
FOBSOE01_FOBSOE,3.4123886050316514,1_2
FOBSOE03_FOBSOE,3.669792625062314,1_2
FOCWUR01_FOCWUR,3.7613175548372055,1_1
FODMAO01_FODMAO,24.93279819997133,1_1
FOFHIU01_FOFHIU,7.6665650198303865,1_1
FOGVIG04_FOGVIG05,14.352453279557835,1_1
FOGWII03_FOGWII,11.857991984996488,1_1
FOLVEK01_FOLVEK,0.576102963151925,1_1
FOMNEB01_FOMNEB03,6.563146134962722,1_2
FOMSUY01_FOMSUY,1.5753131890505756e-05,2_2
FOMVIO02_FOMVIO,0.0011814744448201964,1_1
FONYUE01_FONYUE,13.557871960226748,1_1
FOVBIC01_FOVBIC02,5.40768984000556,1_1
FOVRUE01_FOVRUE02,9.451789588865722e-05,1_1
FOVRUE01_FOVRUE03,1.3127361171427765e-05,1_1
FOVRUE01_FOVRUE04,5.250944468571106e-06,1_1
FOVRUE02_FOVRUE03,8.139053471722946e-05,1_1
FOVRUE02_FOVRUE04,8.926695142008612e-05,1_1
FOVRUE03_FOVRUE04,7.876416702856659e-06,1_1
FOVYOE11_FOVYOE,0.2883954220204714,1_1
FOXREQ01_FOXREQ02,4.694078939837254,1_1
FOXREQ01_FOXREQ,4.693973919753944,1_1
FOXREQ02_FOXREQ,0.00010502008331059187,1_1
FPAMCA17_FPAMCA18,0.06579502966076234,1_1
FPAMCA17_FPAMCA19,0.49642953980924176,1_1
FPAMCA18_FPAMCA19,0.4306345101484794,1_1
FUHHOG01_FUHHOG,0.00023629488896403927,1_2
FULPEH01_FULPEH,2.1206688600304915,1_1
FUQLIM01_FUQLIM02,0.9942243401045516,1_1
FUQLIM01_FUQLIM07,0.9940930652988982,1_1
FUQLIM02_FUQLIM07,0.0001312748056534474,1_1
FUQWAQ01_FUQWAQ,0.06844678467496124,1_1
FURSEM03_FURSEM14,5.698070140526056,2_1
FURSEM03_FURSEM16,5.695864719970473,2_1
FURSEM14_FURSEM16,0.0022054205555832596,1_1
FUXMOA01_FUXMOA,0.0576901115068722,1_1
FUYJAK01_FUYJAK,48.94596251520795,1_1
FUZMET01_FUZMET,0.1778723739795396,1_1
GADSIO01_GADSIO,0.00025729911456551235,2_2
GADSUA01_GADSUA,2.515937884883215,2_1
GAFPEI01_GAFPEI,0.6686623397325775,1_1
GAKWIA01_GAKWIA,8.883221719683775,1_1
GEDSAM01_GEDSAM,47.473818410351896,1_1
GEKGOV02_GEKGOV,0.04650023064436937,2_1
GENQIB01_GENQIB,18.307480225237214,1_1
GESNUN01_GESNUN,20.22939873460541,1_1
GEVZEP01_GEVZEP,2.0396984396737707,1_1
GEWBAO01_GEWBAO,0.622899874546647,1_1
GIGQUI01_GIGQUI,0.5578399848720892,1_1
GIKBOT01_GIKBOT,0.10796055967966822,1_2
GINBIP01_GINBIP,5.513551388958149e-05,1_1
GINKIZ01_GINKIZ,1.7632332900434449,2_2
GISNOM01_GISNOM,0.0001312748056534474,1_1
GIVJUQ01_GIVJUQ02,2.2593477701997244,1_1
GIVJUQ01_GIVJUQ,2.7539394603419396,1_1
GIVJUQ02_GIVJUQ,0.49459169014221516,1_1
GIXXOB01_GIXXOB,1.4113900350154154,1_1
GIYWAP01_GIYWAP02,3.929087005398628,1_1
GIYWAP01_GIYWAP,3.059600169850796,1_1
GIYWAP02_GIYWAP,6.988687175249424,1_1
GIZFIF01_GIZFIF,5.187725450423613,1_1
GNAPHB01_GNAPHB,4.017540099826078,1_1
GOBVEA01_GOBVEA,5.668953344814554,1_1
GOKCOA01_GOKCOA02,0.00021004016662118374,1_1
GUHDIY01_GUHDIY,0.004778410208814421,1_1
GUQRIU01_GUQRIU04,0.0003938250139299271,1_1
HABFAS01_HABFAS,1.6653283952816764,1_1
HAFVIV01_HAFVIV,7.09544000456799,1_1
HAJYUN01_HAJYUN02,0.8199961597922538,1_1
HAKTAP01_HAKTAP,0.009189249529072185,1_1
HANFOS01_HANFOS,0.024810974683646236,1_1
HAXHET01_HAXHET,6.464427334853781,1_1
HAXMAW01_HAXMAW,6315.2008725749765,1_1
HCCYHG04_HCCYHG05,0.000840160666484735,1_1
HEBJOQ01_HEBJOQ,0.1849927298970897,1_1
HECPAJ01_HECPAJ,0.00018378484730874334,1_1
HEHWOJ01_HEHWOJ,0.24749275757807254,1_1
HESDIT01_HESDIT,0.00010502008331059187,2_1
HESRAZ01_HESRAZ,1.3086279649823496,1_1
HETPAL01_HETPAL,0.21343739695601016,1_1
HEVXUB04_HEVXUB05,0.33968719023482663,1_1
HEWLOL01_HEWLOL,0.5278357708893395,1_1
HIBGUV01_HIBGUV02,0.31109549434290784,1_1
HIBGUV01_HIBGUV,1.3267439153246414,1_1
HIBGUV02_HIBGUV,1.6378394096675493,1_1
HICJAG01_HICJAG,16.683529710543553,1_1
HIMGOA01_HIMGOA02,0.9029619599409671,1_1
HIMWIJ01_HIMWIJ,2.0161608327540534,1_1
HIQQAB02_HIQQAB,1.091892939977356,1_1
HIRQIK01_HIRQIK,1.5753262555208494,1_1
HIRREH01_HIRREH,1.6918721998475235,1_1
HISGAS01_HISGAS,0.11305403013841442,2_1
HNIABZ11_HNIABZ20,74.4732001698336,1_1
HOFMAQ01_HOFMAQ,2.625472234285553e-05,1_1
HOJQEE02_HOJQEE,20.39181216509678,1_1
HOJROP01_HOJROP,1.0877000166434527,1_1
HOKPUS01_HOKPUS,11.758931870512242,1_1
HOQABS01_HOQABS,0.32010095962164087,1_1
HPXCDP01_HPXCDP,25.846603474858057,1_1
HUGMIH03_HUGMIH,2.3704851853101445,1_1
HULGIE01_HULGIE,4.142225094938112,1_1
HUMFIG01_HUMFIG,4.142382624466109,1_1
HUMSEN01_HUMSEN,7.876536096773634e-05,1_1
HUTQAP02_HUTQAP,0.15725957357426523,1_1
HXACAN40_HXACAN47,4.2008152718153724e-05,2_2
IBOBUY01_IBOBUY,5.250944468571106e-05,1_1
IBOCEJ01_IBOCEJ,0.01756459311400249,1_1
ICAPOR04_ICAPOR06,2.625472234285553e-06,1_1
ICIMAI01_ICIMAI,27.68379710096542,1_1
ICUBAL01_ICUBAL,0.0001575301249658878,1_1
ICUTOR01_ICUTOR02,0.0008139047502027097,1_1
IDONAS01_IDONAS,0.9990080009593498,1_2
IDUQOO02_IDUQOO,0.0001470282360287456,1_1
IDUTOT01_IDUTOT,4.091605454779369,1_1
IFAPOV01_IFAPOV,3.804428265008937,1_1
IFAWAP01_IFAWAP02,0.012392359682166898,1_1
IFILAL01_IFILAL02,3.1909539348803264,1_1
IFILAL01_IFILAL,2.625472234285553e-05,1_1
IFILAL02_IFILAL,3.1909801896026693,1_1
IFOVOO01_IFOVOO03,0.9656851554482273,1_1
IFULUQ01_IFULUQ,5.637762404547061,1_4
IGAPIR01_IGAPIR,0.37418626073872474,1_1
IGASIS01_IGASIS,0.7146610998074721,1_1
IGEBEC02_IGEBEC,1.104899667027496,1_2
IGUQEG01_IGUQEG,9.067426800746944,1_1
IHAPOX01_IHAPOX02,21.706846350086835,1_1
IHAPOX01_IHAPOX,19.24966715525227,1_1
IHAPOX02_IHAPOX,40.9565135053391,1_1
IHOZOW01_IHOZOW02,2.7911427947077527,1_1
IJAQIV01_IJAQIV02,13.25772480091291,1_1
IJATUK01_IJATUK,0.00018378425033915846,2_1
IJUDUN01_IJUDUN,0.027068905280884792,1_1
ILAHEK01_ILAHEK,0.0004200803332423675,1_1
ILIVUW01_ILIVUW,15.896693614894502,1_1
ILUVAO01_ILUVAO,7.876536096773634e-05,1_1
IMIPAV01_IMIPAV,6.392698675261727,1_1
INEQUN01_INEQUN,6.907034124948154,1_1
INOCET02_INOCET,0.04124660518539258,1_1
INOHIC01_INOHIC,8.003731730453637,1_1
INOSIN10_INOSIN11,12.792276160010601,1_1
IPAMUH01_IPAMUH,3.7180178091721814,1_1
IPEZAG01_IPEZAG,1.9993970152381735,1_1
IPUPUE01_IPUPUE,2.6255319312440406e-05,1_1
IQIHIB01_IQIHIB,0.7955527554001947,1_1
IQILAW02_IQILAW03,1.3611852239469613,1_1
IQILAW02_IQILAW,0.14714877284399108,1_1
IQILAW03_IQILAW,1.2140364511029702,1_1
IQUFUX01_IQUFUX,0.16036553946378262,1_1
IRABIN01_IRABIN,7.088834729529481e-05,1_1
ISOIND01_ISOIND02,6.581671662853864,1_1
ISOIND01_ISOIND,0.03547575602505049,1_1
ISOIND02_ISOIND,6.617147418878915,1_1
ISUNAL01_ISUNAL,0.4431660216499722,2_2
IVATAC01_IVATAC,6.671920599989562,1_1
IVOHIL02_IVOHIL03,1.8073574429445785,1_1
IVOHIL02_IVOHIL04,1.8071894109306754,1_1
IVOHIL03_IVOHIL04,0.00016803201390303002,1_1
IVUQOF01_IVUQOF02,4.199723545180973,2_1
IVUQOF01_IVUQOF03,4.199671035139318,2_1
IVUQOF01_IVUQOF04,4.199723545180973,2_2
IVUQOF01_IVUQOF,4.199382230208698,2_1
IVUQOF02_IVUQOF03,0.0006038651805511108,1_2
